collection_id,property_id,property_name,collection_date,route_id,bags_collected,missed_pickups,completion_time,collector_id,region,ingested_at,processed_at
C001002,P002,Maple Court,2025-06-04,R11,87,2,18:02,D17,Midwest,2026-06-25T06:46:29.225Z,2026-06-25T06:46:49.688Z
C001004,P005,Lakeview Terrace,2025-05-31,R24,76,0,17:11,D16,Southeast,2026-06-25T06:46:29.225Z,2026-06-25T06:46:49.688Z
C001010,P002,Maple Court,2025-05-24,R13,119,0,22:36,D02,Midwest,2026-06-25T06:46:29.225Z,2026-06-25T06:46:49.688Z
C001012,P008,Harbor Pointe,2025-02-22,R11,143,0,22:38,D11,West,2026-06-25T06:46:29.225Z,2026-06-25T06:46:49.688Z
C001019,P007,Willow Creek,2025-01-17,R20,69,0,14:17,D18,Southeast,2026-06-25T06:46:29.225Z,2026-06-25T06:46:49.688Z
C001026,P006,Cedar Park,2025-06-06,R24,127,0,19:40,D09,West,2026-06-25T06:46:29.225Z,2026-06-25T06:46:49.688Z
C001036,P004,Birchwood Commons,2025-03-08,R24,106,2,18:12,D01,Northeast,2026-06-25T06:46:29.225Z,2026-06-25T06:46:49.688Z
C001038,P007,Willow Creek,2025-04-21,R14,55,1,22:29,D16,Northeast,2026-06-25T06:46:29.225Z,2026-06-25T06:46:49.688Z
C001078,P005,Lakeview Terrace,2025-06-22,R21,144,0,18:12,D20,Midwest,2026-06-25T06:46:29.225Z,2026-06-25T06:46:49.688Z
C001079,P001,Sunset Ridge,2025-05-20,R22,78,2,18:52,D12,West,2026-06-25T06:46:29.225Z,2026-06-25T06:46:49.688Z
C001081,P004,Birchwood Commons,2025-02-28,R17,69,0,22:37,D18,West,2026-06-25T06:46:29.225Z,2026-06-25T06:46:49.688Z
C001154,P003,Green Oaks,2025-03-17,R23,106,0,22:02,D05,West,2026-06-25T06:46:29.225Z,2026-06-25T06:46:49.688Z
C001183,P002,Maple Court,2025-01-09,R18,78,0,19:34,D06,West,2026-06-25T06:46:29.225Z,2026-06-25T06:46:49.688Z
C001224,P007,Willow Creek,2025-02-19,R10,118,2,17:05,D02,West,2026-06-25T06:46:29.225Z,2026-06-25T06:46:49.688Z
C001227,P003,Green Oaks,2025-03-23,R10,40,2,14:42,D11,Midwest,2026-06-25T06:46:29.225Z,2026-06-25T06:46:49.688Z
C001245,P004,Birchwood Commons,2025-06-10,R23,96,0,17:20,D09,Midwest,2026-06-25T06:46:29.225Z,2026-06-25T06:46:49.688Z
C001246,P007,Willow Creek,2025-05-29,R12,97,0,17:46,D14,Northeast,2026-06-25T06:46:29.225Z,2026-06-25T06:46:49.688Z
C001260,P008,Harbor Pointe,2025-01-27,R20,87,0,18:51,D03,Southeast,2026-06-25T06:46:29.225Z,2026-06-25T06:46:49.688Z
C001261,P003,Green Oaks,2025-02-08,R15,58,1,20:28,D16,Southeast,2026-06-25T06:46:29.225Z,2026-06-25T06:46:49.688Z
C001270,P008,Harbor Pointe,2025-06-19,R23,116,0,16:01,D05,Northeast,2026-06-25T06:46:29.225Z,2026-06-25T06:46:49.688Z
C001298,P002,Maple Court,2025-06-29,R14,98,1,14:34,D05,West,2026-06-25T06:46:29.225Z,2026-06-25T06:46:49.688Z
C001304,P007,Willow Creek,2025-04-01,R23,41,2,22:50,D20,Midwest,2026-06-25T06:46:29.225Z,2026-06-25T06:46:49.688Z
C001305,P003,Green Oaks,2025-01-20,R15,125,1,19:00,D05,West,2026-06-25T06:46:29.225Z,2026-06-25T06:46:49.688Z
C001306,P006,Cedar Park,2025-02-07,R11,141,0,20:16,D17,Southeast,2026-06-25T06:46:29.225Z,2026-06-25T06:46:49.688Z
C001308,P003,Green Oaks,2025-04-18,R19,88,0,17:22,D07,Midwest,2026-06-25T06:46:29.225Z,2026-06-25T06:46:49.688Z
C001321,P007,Willow Creek,2025-03-23,R13,52,0,16:32,D04,West,2026-06-25T06:46:29.225Z,2026-06-25T06:46:49.688Z
C001333,P003,Green Oaks,2025-02-25,R13,50,0,16:17,D09,West,2026-06-25T06:46:29.225Z,2026-06-25T06:46:49.688Z
C001349,P005,Lakeview Terrace,2025-04-17,R15,136,1,19:25,D03,Northeast,2026-06-25T06:46:29.225Z,2026-06-25T06:46:49.688Z
C001357,P005,Lakeview Terrace,2025-01-24,R21,50,0,19:35,D08,Midwest,2026-06-25T06:46:29.225Z,2026-06-25T06:46:49.688Z
C001360,P002,Maple Court,2025-04-27,R24,56,0,17:58,D12,West,2026-06-25T06:46:29.225Z,2026-06-25T06:46:49.688Z
C001365,P008,Harbor Pointe,2025-05-11,R14,87,0,15:03,D13,West,2026-06-25T06:46:29.225Z,2026-06-25T06:46:49.688Z
C001371,P008,Harbor Pointe,2025-02-17,R21,79,0,17:10,D11,Southeast,2026-06-25T06:46:29.225Z,2026-06-25T06:46:49.688Z
C001383,P003,Green Oaks,2025-05-08,R17,127,2,16:33,D10,Midwest,2026-06-25T06:46:29.225Z,2026-06-25T06:46:49.688Z
C001390,P005,Lakeview Terrace,2025-06-24,R12,93,1,22:12,D10,Northeast,2026-06-25T06:46:29.225Z,2026-06-25T06:46:49.688Z
C001396,P005,Lakeview Terrace,2025-01-14,R23,123,0,15:21,D20,Southeast,2026-06-25T06:46:29.225Z,2026-06-25T06:46:49.688Z
C001401,P008,Harbor Pointe,2025-01-07,R16,47,1,15:19,D13,West,2026-06-25T06:46:29.225Z,2026-06-25T06:46:49.688Z
C001408,P004,Birchwood Commons,2025-04-02,R15,155,0,22:24,D17,Southeast,2026-06-25T06:46:29.225Z,2026-06-25T06:46:49.688Z
C001436,P007,Willow Creek,2025-03-16,R17,124,0,15:42,D03,Southeast,2026-06-25T06:46:29.225Z,2026-06-25T06:46:49.688Z
C001438,P005,Lakeview Terrace,2025-03-19,R23,123,2,17:33,D09,Northeast,2026-06-25T06:46:29.225Z,2026-06-25T06:46:49.688Z
